user_id,meal_id,rating,consumed,meal_type
779,1461,1.0,0,dinner
265,1544,3.0,1,snack
51,1202,1.0,0,dinner
71,373,2.5,0,breakfast
579,516,3.5,1,lunch
773,836,1.5,0,lunch
569,42,3.0,1,breakfast
490,1849,3.5,1,snack
382,804,2.5,0,lunch
366,650,3.5,1,lunch
238,433,4.0,1,breakfast
197,1709,5.0,1,snack
178,868,2.5,0,lunch
764,856,2.5,0,lunch
313,18,1.0,0,breakfast
581,1172,3.5,1,dinner
247,1920,4.5,1,snack
483,1856,2.0,0,snack
9,1118,3.0,0,dinner
496,851,1.5,0,lunch
135,706,2.5,0,lunch
120,1784,4.5,1,snack
625,525,2.5,0,lunch
95,26,2.5,0,breakfast
835,1918,1.0,0,snack
303,66,4.5,1,breakfast
118,1175,3.0,0,dinner
528,1194,2.5,0,dinner
862,1987,1.0,0,snack
304,1029,4.5,1,dinner
967,1823,2.5,0,snack
506,1769,2.0,0,snack
485,442,2.5,0,breakfast
873,655,4.0,1,lunch
226,1386,3.0,1,dinner
120,1513,2.0,0,snack
604,852,4.0,1,lunch
878,1833,3.0,1,snack
249,49,3.5,0,breakfast
474,755,3.5,1,lunch
5,792,2.5,0,lunch
398,1305,1.0,0,dinner
190,785,2.0,0,lunch
579,815,3.0,1,lunch
452,1516,3.5,0,snack
942,1149,4.0,1,dinner
412,1229,2.0,0,dinner
991,1466,3.5,1,dinner
227,747,2.0,0,lunch
856,286,4.5,1,breakfast
25,451,1.5,0,breakfast
331,911,3.5,1,lunch
644,1852,4.0,1,snack
870,958,3.0,1,lunch
204,1644,3.0,1,snack
172,759,3.5,0,lunch
413,1697,1.0,0,snack
4,650,2.5,0,lunch
213,1695,5.0,1,snack
666,799,4.0,1,lunch
575,1727,1.5,0,snack
294,769,1.0,0,lunch
336,0,2.5,0,breakfast
63,205,3.0,1,breakfast
849,1267,3.5,1,dinner
964,1589,2.0,0,snack
652,1403,3.5,1,dinner
669,790,5.0,1,lunch
332,287,4.0,1,breakfast
709,319,1.5,0,breakfast
923,363,2.0,0,breakfast
765,601,2.0,0,lunch
311,1555,3.0,1,snack
626,1117,3.0,0,dinner
500,171,4.0,1,breakfast
320,1121,3.0,1,dinner
310,1753,3.0,1,snack
284,1661,4.0,1,snack
354,213,1.0,0,breakfast
557,1071,2.5,0,dinner
186,501,2.0,0,lunch
952,786,3.5,1,lunch
41,603,4.5,1,lunch
727,1469,2.5,0,dinner
220,1644,2.0,0,snack
154,937,1.0,0,lunch
840,1079,2.5,0,dinner
452,256,2.0,0,breakfast
433,208,3.5,1,breakfast
595,720,3.5,1,lunch
35,1238,3.0,0,dinner
902,1849,2.5,0,snack
974,1053,4.0,1,dinner
337,990,4.0,0,lunch
436,901,2.5,0,lunch
314,613,4.0,1,lunch
926,754,2.5,0,lunch
455,46,3.0,0,breakfast
143,1454,4.0,0,dinner
25,1030,1.0,0,dinner
590,1038,2.0,0,dinner
600,1632,4.5,1,snack
501,1482,3.5,1,dinner
74,241,3.0,1,breakfast
258,122,2.5,0,breakfast
726,1831,4.0,1,snack
518,91,3.0,1,breakfast
602,427,3.5,1,breakfast
6,119,1.0,0,breakfast
97,1957,1.5,0,snack
42,182,1.5,0,breakfast
234,1999,3.5,1,snack
906,199,3.0,1,breakfast
360,1805,3.5,1,snack
889,930,3.0,1,lunch
114,1275,4.5,1,dinner
48,1475,2.0,0,dinner
271,1454,4.5,1,dinner
292,1429,2.0,0,dinner
797,1609,4.0,1,snack
517,1047,2.5,0,dinner
910,436,1.5,0,breakfast
852,1745,2.0,0,snack
498,1197,2.5,0,dinner
662,599,3.0,1,lunch
340,1055,4.0,1,dinner
888,14,1.0,0,breakfast
626,1360,3.5,1,dinner
773,1614,1.0,0,snack
459,1749,3.5,1,snack
804,1613,4.0,1,snack
578,1496,2.0,0,dinner
358,1149,2.5,0,dinner
685,1110,3.0,1,dinner
977,394,4.0,1,breakfast
75,1045,4.0,1,dinner
55,167,1.0,0,breakfast
190,481,3.0,1,breakfast
415,339,2.5,0,breakfast
349,600,2.5,0,lunch
436,1245,2.5,0,dinner
600,1082,1.5,0,dinner
151,933,3.0,1,lunch
845,617,3.5,1,lunch
518,367,4.0,1,breakfast
257,262,3.0,1,breakfast
20,904,2.0,0,lunch
205,42,2.0,0,breakfast
849,1141,4.5,0,dinner
371,1255,1.5,0,dinner
163,546,3.0,1,lunch
74,1323,3.0,1,dinner
380,709,3.5,1,lunch
633,1609,2.5,0,snack
27,1486,3.5,0,dinner
894,1239,2.0,0,dinner
830,1124,2.0,0,dinner
563,373,1.0,0,breakfast
785,93,3.0,0,breakfast
20,1172,3.0,1,dinner
753,1242,2.5,0,dinner
57,1448,3.0,1,dinner
22,900,3.0,1,lunch
341,166,3.0,1,breakfast
987,1630,2.5,0,snack
559,1371,3.5,1,dinner
942,1011,3.0,1,dinner
500,920,5.0,1,lunch
218,871,1.0,0,lunch
737,605,2.0,0,lunch
414,1109,2.5,0,dinner
994,1320,3.0,1,dinner
392,1466,5.0,1,dinner
58,109,4.5,1,breakfast
898,1756,3.5,1,snack
530,1026,3.5,1,dinner
930,1265,4.5,1,dinner
658,1296,4.5,1,dinner
624,460,2.0,0,breakfast
272,1636,4.5,1,snack
127,209,2.0,0,breakfast
864,1701,3.5,0,snack
714,10,1.5,0,breakfast
341,220,3.0,0,breakfast
417,1625,1.0,0,snack
458,262,4.5,1,breakfast
449,1791,4.0,1,snack
117,216,3.5,1,breakfast
420,891,2.0,0,lunch
373,653,5.0,1,lunch
469,743,2.5,0,lunch
873,628,4.0,0,lunch
328,1478,3.5,1,dinner
879,306,4.0,0,breakfast
750,1061,4.0,1,dinner
366,834,1.5,0,lunch
832,780,2.5,0,lunch
907,1374,2.5,0,dinner
296,1217,5.0,0,dinner
897,425,2.0,0,breakfast
249,1957,3.5,0,snack
615,800,3.5,1,lunch
366,1808,3.5,1,snack
432,182,3.5,1,breakfast
117,30,2.5,0,breakfast
863,1408,2.5,0,dinner
879,101,2.5,0,breakfast
366,829,3.0,0,lunch
548,290,2.5,0,breakfast
237,1961,4.5,1,snack
106,243,4.5,1,breakfast
139,1489,2.5,0,dinner
453,1407,3.0,1,dinner
959,131,3.0,1,breakfast
500,1545,3.5,1,snack
769,93,2.0,0,breakfast
883,1264,1.0,0,dinner
217,939,3.5,0,lunch
581,732,4.0,0,lunch
680,1849,1.0,0,snack
900,1184,4.0,1,dinner
384,1763,2.0,0,snack
424,475,3.0,1,breakfast
789,752,3.0,0,lunch
523,52,4.0,1,breakfast
861,1479,2.0,0,dinner
321,826,2.5,0,lunch
770,1463,4.0,0,dinner
727,1597,3.0,1,snack
880,606,5.0,1,lunch
653,104,1.5,0,breakfast
483,1725,2.0,0,snack
128,318,1.0,0,breakfast
751,234,2.5,0,breakfast
596,605,3.0,1,lunch
876,1532,4.5,0,snack
189,1967,3.5,1,snack
938,521,3.0,1,lunch
110,550,1.5,0,lunch
621,496,3.0,1,breakfast
744,488,2.0,0,breakfast
50,1294,3.0,1,dinner
538,567,2.0,0,lunch
114,620,4.0,1,lunch
686,623,2.0,0,lunch
646,762,4.0,0,lunch
733,1409,1.0,0,dinner
639,260,1.0,0,breakfast
602,1860,3.0,1,snack
979,1733,1.5,0,snack
497,1201,2.5,0,dinner
935,1614,2.0,0,snack
377,767,2.5,0,lunch
544,72,1.0,0,breakfast
973,503,1.0,0,lunch
387,827,2.5,0,lunch
239,975,3.0,0,lunch
67,1663,1.0,0,snack
537,1943,2.5,0,snack
974,23,2.5,0,breakfast
414,850,2.0,0,lunch
100,545,3.0,1,lunch
210,741,2.0,0,lunch
837,441,3.0,0,breakfast
533,364,2.5,0,breakfast
37,1154,3.0,1,dinner
142,430,3.0,1,breakfast
672,982,3.0,1,lunch
947,191,3.5,0,breakfast
811,345,3.5,1,breakfast
779,1975,1.0,0,snack
503,983,1.0,0,lunch
210,972,3.0,1,lunch
696,137,3.0,1,breakfast
391,1425,1.0,0,dinner
520,431,1.5,0,breakfast
934,1128,2.5,0,dinner
157,1402,5.0,1,dinner
222,401,2.0,0,breakfast
183,914,4.0,1,lunch
379,537,2.5,0,lunch
693,294,2.5,0,breakfast
259,1407,1.0,0,dinner
793,718,3.5,1,lunch
853,1402,3.5,1,dinner
175,792,2.0,0,lunch
929,1406,3.0,1,dinner
408,1741,3.0,0,snack
999,29,1.0,0,breakfast
358,1185,3.5,1,dinner
844,1244,3.0,1,dinner
94,1929,1.0,0,snack
754,1908,1.5,0,snack
117,1667,1.5,0,snack
250,1326,2.5,0,dinner
158,1694,2.0,0,snack
794,1624,2.0,0,snack
490,760,5.0,1,lunch
236,1451,2.5,0,dinner
835,603,1.0,0,lunch
937,1128,2.5,0,dinner
626,179,2.5,0,breakfast
119,27,2.5,0,breakfast
831,261,1.0,0,breakfast
653,625,3.0,1,lunch
436,1672,1.5,0,snack
683,1662,2.0,0,snack
943,1488,3.5,0,dinner
159,1357,3.5,1,dinner
196,1143,3.0,1,dinner
225,594,3.5,1,lunch
536,219,2.0,0,breakfast
292,1227,2.5,0,dinner
865,31,1.5,0,breakfast
88,1225,5.0,1,dinner
752,1016,3.5,1,dinner
221,1932,4.0,0,snack
841,833,3.5,1,lunch
484,10,2.0,0,breakfast
701,122,1.5,0,breakfast
700,251,2.5,0,breakfast
666,706,2.0,0,lunch
539,705,2.0,0,lunch
606,781,3.5,1,lunch
125,1382,2.5,0,dinner
11,1500,2.5,0,snack
293,1977,2.5,0,snack
7,1531,3.0,1,snack
313,1208,3.0,1,dinner
20,252,4.0,1,breakfast
257,1835,2.5,0,snack
822,551,1.0,0,lunch
460,1632,4.5,1,snack
628,247,1.0,0,breakfast
360,1372,3.5,1,dinner
585,1415,2.0,0,dinner
13,44,4.0,1,breakfast
322,1275,4.5,1,dinner
780,1142,2.0,0,dinner
839,24,1.0,0,breakfast
790,1225,3.5,1,dinner
628,1602,1.5,0,snack
558,752,3.0,0,lunch
659,1517,4.0,1,snack
76,915,3.0,1,lunch
655,1270,4.0,1,dinner
747,313,2.5,0,breakfast
215,48,3.0,0,breakfast
117,81,2.5,0,breakfast
633,836,3.0,1,lunch
672,175,2.5,0,breakfast
358,1309,3.5,1,dinner
850,474,1.0,0,breakfast
561,1060,1.0,0,dinner
180,1788,4.5,0,snack
235,1204,1.5,0,dinner
113,305,3.0,0,breakfast
731,653,3.0,1,lunch
42,1503,4.0,0,snack
452,846,2.0,0,lunch
186,937,3.0,1,lunch
982,1290,4.0,1,dinner
428,690,1.5,0,lunch
676,895,1.0,0,lunch
439,1629,4.0,1,snack
248,1971,3.0,1,snack
569,706,4.0,1,lunch
328,1616,3.5,1,snack
423,1028,4.0,1,dinner
86,401,2.5,0,breakfast
292,1946,2.0,0,snack
26,1868,2.5,0,snack
693,134,4.0,0,breakfast
414,1250,4.0,1,dinner
361,1283,4.0,1,dinner
979,1646,2.0,0,snack
702,940,4.5,1,lunch
371,808,2.0,0,lunch
848,122,2.5,0,breakfast
264,745,2.0,0,lunch
287,419,3.0,0,breakfast
986,474,2.5,0,breakfast
904,1660,4.5,1,snack
896,1536,2.5,0,snack
802,1288,1.0,0,dinner
307,402,3.5,1,breakfast
475,749,3.5,1,lunch
604,1243,3.0,1,dinner
230,817,4.0,0,lunch
104,254,4.0,0,breakfast
957,457,3.0,1,breakfast
663,689,3.5,1,lunch
599,540,4.0,0,lunch
611,1138,3.5,1,dinner
342,1097,3.0,1,dinner
124,37,4.5,0,breakfast
105,555,2.5,0,lunch
535,1659,1.5,0,snack
796,995,3.5,0,lunch
892,1700,2.0,0,snack
582,1974,2.0,0,snack
952,767,1.5,0,lunch
301,1895,2.0,0,snack
139,99,4.0,1,breakfast
870,365,4.0,1,breakfast
174,1111,3.0,1,dinner
479,544,1.0,0,lunch
81,1236,2.0,0,dinner
815,519,1.0,0,lunch
769,1266,5.0,0,dinner
885,1556,1.5,0,snack
524,1536,1.0,0,snack
661,1140,1.5,0,dinner
661,1340,3.0,1,dinner
89,387,4.0,1,breakfast
327,723,2.5,0,lunch
73,1119,3.5,1,dinner
314,1710,3.5,1,snack
268,427,2.5,0,breakfast
567,1924,2.0,0,snack
450,1332,2.5,0,dinner
389,175,2.5,0,breakfast
105,591,3.0,1,lunch
302,1610,2.5,0,snack
954,952,2.5,0,lunch
758,1172,1.0,0,dinner
55,1711,4.0,1,snack
935,1086,2.5,0,dinner
805,1052,2.0,0,dinner
299,704,3.0,0,lunch
140,1949,3.0,1,snack
763,1610,1.0,0,snack
190,1734,3.5,1,snack
679,1519,3.5,1,snack
770,925,2.5,0,lunch
829,1444,3.5,1,dinner
286,45,1.0,0,breakfast
907,374,2.5,0,breakfast
702,986,3.5,1,lunch
635,1589,1.0,0,snack
438,1327,2.0,0,dinner
710,215,1.0,0,breakfast
112,1039,4.0,1,dinner
833,1121,2.5,0,dinner
59,229,1.5,0,breakfast
823,470,3.5,1,breakfast
173,1823,1.5,0,snack
290,1383,3.0,1,dinner
974,396,3.0,1,breakfast
661,1563,3.0,1,snack
305,357,3.0,1,breakfast
467,641,1.5,0,lunch
883,1593,2.0,0,snack
311,1657,3.0,1,snack
476,614,3.0,1,lunch
749,1929,4.5,1,snack
895,1359,2.5,0,dinner
73,808,3.5,1,lunch
219,78,3.0,1,breakfast
641,1945,3.0,0,snack
984,1298,4.5,1,dinner
593,863,4.0,0,lunch
771,1183,3.0,1,dinner
376,848,2.5,0,lunch
873,375,2.5,0,breakfast
129,1051,4.5,1,dinner
628,1936,3.0,0,snack
745,1277,4.0,1,dinner
849,1376,2.5,0,dinner
847,1583,1.5,0,snack
262,295,3.5,1,breakfast
681,1067,1.0,0,dinner
938,554,3.5,1,lunch
449,503,3.0,0,lunch
264,522,1.0,0,lunch
244,1176,1.0,0,dinner
608,499,2.0,0,breakfast
752,768,5.0,1,lunch
624,1870,1.5,0,snack
225,1779,4.0,1,snack
833,111,3.0,1,breakfast
323,1116,3.5,1,dinner
140,910,1.5,0,lunch
403,1841,4.5,1,snack
413,1463,5.0,1,dinner
618,1559,4.0,1,snack
948,1739,1.0,0,snack
942,1944,2.0,0,snack
499,1560,1.5,0,snack
435,1546,4.0,1,snack
443,1845,3.0,1,snack
772,1320,3.0,1,dinner
183,31,4.5,1,breakfast
461,870,2.5,0,lunch
983,367,3.5,1,breakfast
704,1552,2.0,0,snack
601,1394,2.0,0,dinner
37,347,3.0,1,breakfast
997,736,5.0,1,lunch
505,1848,4.0,1,snack
732,1630,4.0,0,snack
467,1539,3.0,1,snack
764,162,2.5,0,breakfast
530,81,2.5,0,breakfast
480,1916,2.0,0,snack
151,1386,1.5,0,dinner
92,1054,2.5,0,dinner
601,48,2.5,0,breakfast
878,1281,2.0,0,dinner
774,545,3.0,0,lunch
649,1391,3.5,1,dinner
806,1941,2.0,0,snack
118,146,4.5,1,breakfast
826,742,1.5,0,lunch
981,1522,3.5,1,snack
973,1728,1.0,0,snack
24,1605,5.0,1,snack
891,1217,4.0,1,dinner
342,502,2.5,0,lunch
758,516,1.5,0,lunch
496,1249,1.5,0,dinner
33,1707,3.5,1,snack
284,224,3.0,1,breakfast
518,1237,3.0,0,dinner
700,952,2.5,0,lunch
830,1979,5.0,1,snack
214,381,1.0,0,breakfast
384,1118,5.0,1,dinner
227,573,2.5,0,lunch
623,1742,3.5,1,snack
878,1841,4.5,1,snack
523,1025,3.5,1,dinner
653,801,3.0,1,lunch
715,873,4.0,1,lunch
494,1284,1.5,0,dinner
513,540,4.5,1,lunch
611,895,3.5,1,lunch
298,1483,2.0,0,dinner
426,1861,2.5,0,snack
331,1993,4.0,1,snack
51,1407,1.0,0,dinner
468,1431,1.0,0,dinner
518,1212,3.5,0,dinner
598,147,3.5,0,breakfast
369,1611,2.0,0,snack
610,635,3.5,0,lunch
893,835,3.0,1,lunch
309,1669,2.5,0,snack
540,626,1.0,0,lunch
329,908,2.5,0,lunch
61,1109,1.5,0,dinner
378,1705,1.5,0,snack
627,321,3.0,1,breakfast
418,1501,3.5,1,snack
999,19,1.0,0,breakfast
557,1393,3.0,1,dinner
302,1241,4.0,1,dinner
57,433,3.0,1,breakfast
767,828,4.5,1,lunch
517,1354,3.5,1,dinner
882,410,5.0,1,breakfast
826,565,1.5,0,lunch
871,1812,2.5,0,snack
677,862,2.5,0,lunch
919,617,1.0,0,lunch
42,794,3.5,1,lunch
669,1885,3.0,0,snack
428,61,1.0,0,breakfast
919,301,4.0,1,breakfast
771,15,3.0,1,breakfast
879,1124,1.5,0,dinner
972,1836,4.0,1,snack
466,932,2.5,0,lunch
215,1514,4.5,1,snack
532,450,2.5,0,breakfast
243,674,2.5,0,lunch
145,1090,5.0,1,dinner
471,762,3.5,1,lunch
369,737,2.0,0,lunch
468,1684,1.5,0,snack
706,875,3.5,0,lunch
37,781,4.0,1,lunch
110,1913,3.5,1,snack
786,41,3.0,0,breakfast
486,1922,2.5,0,snack
180,1964,1.0,0,snack
677,743,1.0,0,lunch
144,15,3.0,0,breakfast
481,1075,4.0,1,dinner
370,997,2.5,0,lunch
809,253,1.5,0,breakfast
635,1053,3.0,1,dinner
358,473,3.0,1,breakfast
76,349,4.0,1,breakfast
878,464,1.5,0,breakfast
297,1348,2.5,0,dinner
279,710,1.5,0,lunch
566,270,2.5,0,breakfast
516,1124,3.0,1,dinner
797,1003,4.0,1,dinner
615,360,3.0,1,breakfast
835,1499,2.0,0,dinner
822,1634,2.0,0,snack
255,1766,4.0,0,snack
332,1180,2.0,0,dinner
875,857,3.0,1,lunch
924,243,4.5,1,breakfast
661,1005,3.0,1,dinner
154,498,1.0,0,breakfast
944,1746,1.0,0,snack
23,282,5.0,1,breakfast
848,1643,3.5,1,snack
421,848,4.0,1,lunch
177,474,2.0,0,breakfast
572,404,5.0,1,breakfast
268,524,3.5,0,lunch
639,1574,4.5,1,snack
393,185,1.5,0,breakfast
280,1000,5.0,1,dinner
683,185,1.0,0,breakfast
543,574,2.5,0,lunch
162,52,3.0,0,breakfast
195,1234,2.0,0,dinner
328,1052,2.5,0,dinner
682,121,3.0,1,breakfast
1,1668,2.0,0,snack
301,1102,4.5,1,dinner
275,715,3.0,1,lunch
485,1130,1.0,0,dinner
163,1977,1.5,0,snack
526,0,2.0,0,breakfast
699,1041,3.5,0,dinner
998,1741,3.0,1,snack
708,1354,2.5,0,dinner
927,1842,1.0,0,snack
710,324,3.0,1,breakfast
797,1869,3.5,1,snack
557,1405,1.0,0,dinner
964,1783,5.0,0,snack
51,1557,2.5,0,snack
421,610,3.5,1,lunch
373,550,4.0,1,lunch
386,1681,3.5,0,snack
537,1459,1.0,0,dinner
495,1035,3.5,1,dinner
759,127,2.5,0,breakfast
75,1292,4.0,1,dinner
198,1606,5.0,1,snack
603,402,4.0,0,breakfast
175,510,3.0,0,lunch
354,558,3.5,1,lunch
146,1321,4.0,1,dinner
331,432,3.0,1,breakfast
586,1718,1.0,0,snack
598,1294,1.5,0,dinner
403,737,2.0,0,lunch
777,1777,4.0,0,snack
15,314,2.5,0,breakfast
532,1039,3.5,1,dinner
466,1757,4.5,1,snack
529,729,3.0,1,lunch
962,933,2.5,0,lunch
866,991,3.0,0,lunch
865,1275,3.5,1,dinner
809,366,1.5,0,breakfast
629,434,2.5,0,breakfast
689,1484,3.5,1,dinner
825,1191,4.0,1,dinner
2,371,5.0,1,breakfast
366,1207,2.5,0,dinner
416,728,3.0,0,lunch
52,740,1.0,0,lunch
694,22,3.0,1,breakfast
119,672,2.5,0,lunch
207,1884,2.0,0,snack
867,1178,3.0,0,dinner
504,970,2.5,0,lunch
393,1870,4.0,1,snack
432,805,2.0,0,lunch
807,1163,2.5,0,dinner
987,1521,3.5,1,snack
675,831,1.5,0,lunch
95,27,2.5,0,breakfast
24,1710,2.5,0,snack
403,672,4.0,1,lunch
372,617,1.0,0,lunch
841,68,3.0,0,breakfast
6,317,2.0,0,breakfast
622,1878,4.5,0,snack
712,1031,4.5,1,dinner
898,382,3.5,0,breakfast
165,897,1.0,0,lunch
638,1928,4.0,0,snack
730,997,3.0,1,lunch
27,350,3.0,1,breakfast
479,212,2.0,0,breakfast
613,929,2.0,0,lunch
379,199,1.0,0,breakfast
679,237,1.0,0,breakfast
878,250,4.0,1,breakfast
497,1987,2.0,0,snack
700,1434,2.0,0,dinner
783,428,1.5,0,breakfast
967,209,2.5,0,breakfast
546,1733,2.0,0,snack
567,1918,4.5,1,snack
663,1929,5.0,1,snack
520,1522,4.5,0,snack
324,687,4.0,1,lunch
241,315,3.5,1,breakfast
134,1211,3.5,0,dinner
373,1035,2.0,0,dinner
486,1818,3.0,1,snack
619,720,2.0,0,lunch
310,1331,3.0,1,dinner
576,1475,3.5,1,dinner
872,235,1.0,0,breakfast
746,29,3.0,1,breakfast
147,604,1.5,0,lunch
730,1342,2.0,0,dinner
970,1360,4.0,0,dinner
206,1981,4.5,1,snack
932,582,2.0,0,lunch
977,283,5.0,1,breakfast
16,1238,1.5,0,dinner
94,1656,2.0,0,snack
5,779,2.0,0,lunch
419,1826,3.0,1,snack
247,859,2.5,0,lunch
114,376,4.0,1,breakfast
131,1397,1.0,0,dinner
949,805,3.0,0,lunch
146,1757,2.5,0,snack
117,1596,2.5,0,snack
230,450,3.5,0,breakfast
700,1072,4.5,0,dinner
635,828,4.0,1,lunch
394,1528,4.0,1,snack
682,1016,1.0,0,dinner
931,1869,2.0,0,snack
996,1584,4.0,1,snack
174,1814,4.0,0,snack
865,1532,3.0,1,snack
32,81,2.5,0,breakfast
482,147,3.5,1,breakfast
379,825,2.0,0,lunch
853,433,3.0,0,breakfast
105,793,3.0,1,lunch
681,986,4.0,1,lunch
208,1861,2.0,0,snack
410,7,1.0,0,breakfast
793,1080,1.5,0,dinner
134,237,4.5,1,breakfast
629,1732,3.5,1,snack
814,613,2.5,0,lunch
984,279,5.0,1,breakfast
53,66,3.0,1,breakfast
726,1069,2.0,0,dinner
591,1058,3.0,1,dinner
545,792,1.5,0,lunch
112,1195,5.0,1,dinner
39,1046,3.0,1,dinner
836,289,3.5,1,breakfast
199,837,1.0,0,lunch
216,410,1.5,0,breakfast
506,150,1.5,0,breakfast
211,1215,3.0,1,dinner
370,1732,5.0,0,snack
912,1828,3.5,1,snack
415,328,3.0,1,breakfast
265,1564,1.0,0,snack
825,744,3.5,1,lunch
784,1242,2.5,0,dinner
79,1408,3.0,1,dinner
838,618,3.0,1,lunch
502,1948,5.0,1,snack
120,1197,1.5,0,dinner
865,1923,3.0,1,snack
992,1261,3.0,0,dinner
315,36,3.0,0,breakfast
657,1149,1.0,0,dinner
886,1637,2.5,0,snack
219,1030,3.5,1,dinner
483,42,2.5,0,breakfast
