meal_id,name,meal_type,calories,protein_g,carbs_g,fats_g,fiber_g,sodium_mg,sugar_g,prep_time_min,is_diabetic_friendly,is_heart_healthy,is_low_sodium,is_low_carb,is_high_protein,is_low_fat,is_soft_food,is_vegetarian,is_gluten_free
0,Oatmeal with Berries,breakfast,269,7.7,46.2,5.8,3.8,370,15.2,30,0,1,1,0,0,1,1,0,0
1,Greek Yogurt Parfait,breakfast,219,13.2,26.4,7.0,1.8,558,17.6,25,1,0,0,1,0,1,1,1,0
2,Scrambled Eggs with Toast,breakfast,277,15.6,24.3,12.1,1.7,443,17.0,40,0,1,0,1,0,0,1,1,0
3,Banana Smoothie,breakfast,227,6.2,43.5,4.1,3.1,413,11.4,25,0,1,0,0,0,1,1,1,0
4,Whole Wheat Pancakes,breakfast,329,9.7,50.4,9.7,2.9,575,19.5,45,0,0,0,0,0,1,1,0,0
5,Fruit Bowl with Granola,breakfast,272,6.4,50.0,5.5,4.5,666,19.7,10,0,0,0,0,0,1,1,1,0
6,Egg White Omelette,breakfast,162,18.0,7.2,5.4,1.8,266,2.2,10,1,1,1,1,0,1,1,0,0
7,Cottage Cheese with Fruit,breakfast,188,13.2,20.7,4.7,1.9,664,6.2,25,1,0,0,1,0,1,1,0,1
8,Avocado Toast,breakfast,309,8.0,30.0,18.0,6.0,134,18.4,25,1,0,1,0,0,0,1,1,0
9,Rice Porridge,breakfast,244,4.9,44.0,3.9,1.0,665,11.8,40,0,0,0,0,0,1,1,1,0
10,Poached Eggs Benedict,breakfast,374,15.8,31.5,17.7,1.0,301,18.1,40,0,0,1,0,0,0,1,0,0
11,Muesli with Almond Milk,breakfast,296,9.2,49.0,8.2,5.1,351,2.8,60,0,1,1,0,0,1,1,0,0
12,Spinach Egg Wrap,breakfast,273,16.2,24.3,10.1,3.0,316,7.1,25,1,1,1,1,0,0,1,1,0
13,Chia Seed Pudding,breakfast,215,7.2,27.0,9.0,7.2,620,15.9,25,1,0,0,1,0,1,1,1,1
14,Soft Boiled Eggs with Soldiers,breakfast,236,12.7,20.0,10.9,1.8,491,15.1,10,1,1,0,1,0,0,1,0,0
15,Oatmeal with Berries (V1),breakfast,292,8.4,50.2,6.3,4.2,127,17.5,60,0,1,1,0,0,1,1,0,1
16,Greek Yogurt Parfait (V1),breakfast,240,14.4,28.8,7.7,1.9,673,7.9,20,1,0,0,1,0,1,1,0,0
17,Scrambled Eggs with Toast (V1),breakfast,325,18.3,28.5,14.3,2.0,712,19.5,20,0,0,0,1,0,0,1,0,0
18,Banana Smoothie (V1),breakfast,237,6.5,45.4,4.3,3.2,492,14.8,15,0,1,0,0,0,1,1,1,1
19,Whole Wheat Pancakes (V1),breakfast,292,8.6,44.7,8.6,2.6,340,7.7,60,0,1,1,0,0,1,1,0,1
20,Fruit Bowl with Granola (V1),breakfast,309,7.2,56.7,6.2,5.2,754,15.6,25,0,0,0,0,0,1,1,0,0
21,Egg White Omelette (V1),breakfast,190,21.2,8.5,6.4,2.1,677,13.2,40,1,0,0,1,1,1,1,0,0
22,Cottage Cheese with Fruit (V1),breakfast,218,15.3,24.0,5.5,2.2,655,9.5,40,1,0,0,1,0,1,1,0,0
23,Avocado Toast (V1),breakfast,346,9.0,33.6,20.1,6.7,330,18.3,10,1,0,1,0,0,0,1,1,0
24,Rice Porridge (V1),breakfast,273,5.5,49.3,4.4,1.1,358,2.1,60,0,1,1,0,0,1,1,0,0
